State Code,Month,Year,Observation Count,Observation Percent,1st Max Value,1st Max Hour,Arithmetic Mean,AM_Wind,AM_Temp,AM_RH,AM_Press
01,01,2015,16.59016393442623,97.59016393442623,0.030278688524590164,11.262295081967213,0.024143508196721317,69.78511424999998,43.65497312903225,64.94959682258065,999.8825940483869
01,02,2015,15.008064516129032,88.29032258064517,0.0353064516129032,12.57258064516129,0.03027226612903225,90.9765543125,40.203114375,59.98788267857143,997.6153698928573
01,03,2015,16.343262411347517,96.13758865248226,0.036634042553191484,10.89645390070922,0.027998862411347535,86.68827282258064,57.205779629032264,72.77419354838712,997.9767472580645
01,04,2015,16.713643178410795,98.32533733133434,0.03852923538230878,10.137931034482758,0.029054481259370313,86.39329858333335,66.14847223333335,70.58263893333334,993.6078472166666
01,05,2015,16.735583684950775,98.45428973277075,0.04433192686357242,9.243319268635725,0.030516617440225036,80.41747312096777,72.99422041935483,67.39448927419355,998.580309096774
01,06,2015,16.868115942028986,99.23188405797102,0.039453623188405805,9.078260869565218,0.02591551304347825,98.53195391666665,80.43831435,67.99779036666668,995.3770580833335
01,07,2015,16.785915492957745,98.7450704225352,0.037492957746478865,9.069014084507042,0.02407559295774649,101.84952958064515,82.27567204838712,70.72043011290322,994.868413983871
01,08,2015,16.75212464589235,98.55099150141643,0.04047875354107644,9.338526912181303,0.027202474504249317,84.25356182258065,79.49522845161292,69.55645159677418,994.5744623870967
01,09,2015,16.75,98.53216374269006,0.03939912280701756,9.353801169590643,0.025251337719298255,64.51312147169811,74.88342170000001,71.19441431666664,994.9793623499999
01,10,2015,16.657263751763047,98.0,0.03436107193229896,9.370944992947814,0.022909073342736244,79.71011429032262,65.85053762903229,67.12836020967741,995.2372311612901
01,11,2015,16.983333333333334,99.9,0.03053333333333332,10.2,0.023442299999999996,70.36263891666668,59.42298610000001,71.82916665,998.6445833500001
01,12,2015,16.806451612903224,98.87096774193549,0.028935483870967744,11.0,0.02204874193548387,81.77100131451614,57.28830650000001,74.85954300000002,996.385416629032
02,01,2015,16.54237288135593,97.32203389830508,0.024440677966101682,14.559322033898304,0.021841338983050834,108.76543716393444,0.9379480537634425,78.59139777419355,750.5006075599999
02,02,2015,16.8,98.81818181818181,0.025145454545454533,12.709090909090909,0.022363999999999995,49.66700149107141,7.185813476190473,78.77536230434782,751.4936416785714
02,07,2015,16.892473118279568,99.35483870967742,0.02444086021505374,11.64516129032258,0.020394763440860213,90.78961665384614,56.61798778048781,71.57143119512196,745.3692145806452
02,08,2015,17.0,100.0,0.023064516129032254,11.53763440860215,0.01857115053763441,100.88299735483872,48.733871,76.82392470967743,746.8420223214285
02,09,2015,16.92222222222222,99.53333333333333,0.0195,11.833333333333334,0.01533714444444444,89.84498364705883,38.08870374509804,69.34963611764705,742.2297222333333
06,01,2015,16.42168917556944,96.58637371497682,0.026101793993146907,10.437814956661963,0.017538941140899062,84.4213323151283,52.54688809999991,58.01837017573639,983.6788139786947
06,02,2015,16.540336879432623,97.28346631205673,0.03665868794326271,10.88497340425532,0.02641859707446816,91.03254156960902,57.10255978599235,57.89700226581578,979.0455165995247
06,03,2015,16.64083517365991,97.87231479622565,0.045917084922706554,10.530214816301948,0.03416290202770527,95.98788719558607,61.59489180732954,48.85468126108867,978.8661768050183
06,04,2015,16.69522305566522,98.1989735491512,0.05195716541650224,10.51243584682195,0.04143731523884711,105.14723541805074,60.66697524053757,46.97757884984834,976.032265069546
06,05,2015,16.76173752310536,98.5913123844732,0.04993678373382628,10.473567467652495,0.04144686876155253,108.54017676763713,62.091260775649616,57.35418933631658,974.3319749148493
06,06,2015,16.76453819840365,98.60832383124287,0.053366210566324686,10.478335233751425,0.04154658228810338,108.28547661751888,73.64711671362781,48.357126088035066,973.2030688621426
06,07,2015,16.75901189387008,98.57712717291857,0.044936688014638446,10.301006404391583,0.0341771615736504,109.24026555633908,74.68815172511111,53.28647670018197,974.1197033314385
06,08,2015,16.72292468389225,98.36210371999267,0.04930474619754438,10.443833608209639,0.03708016474253257,107.67735304413729,76.86577610323734,47.44101183469297,973.8580849150297
06,09,2015,16.75399962356484,98.54921889704498,0.04918652362130622,10.310747223790703,0.035884345943911135,101.16928692459553,74.69109258726913,46.78675207416991,972.2652733702292
06,10,2015,16.70383275261324,98.25307170364937,0.0449262791124152,10.264441591784339,0.03255596992481207,96.46057482652897,68.56482280104458,53.73421416851624,975.0642139400442
06,11,2015,16.551088448715433,97.34908805648166,0.03568091782702498,10.066091390468719,0.025379276917042646,92.8657019631026,52.90343851373013,50.89218155871285,979.8671099895847
06,12,2015,16.460023631350925,96.82690035447027,0.030191217014572915,10.69456478928712,0.022031707758960326,93.08792498769137,47.923545451248195,58.162153660238104,978.9419641513053
08,01,2015,16.648,97.929,0.035171999999999995,11.834,0.029251129999999993,94.85331432934538,32.045067539260934,69.34750603720926,824.8928763763438
08,02,2015,16.737297297297296,98.44972972972973,0.03929081081081085,11.244324324324324,0.033255154594594605,94.23701776929258,34.488594491698585,60.62383219693097,819.3007687590364
08,03,2015,16.75208913649025,98.54038997214485,0.04746703806870924,10.914577530176416,0.039911355617455964,96.60183401426639,44.33038967857138,48.9854325253456,819.8993422580646
08,04,2015,16.700892857142858,98.26517857142858,0.05191249999999984,10.9375,0.044395197321428555,95.03549806402869,47.035276591954016,46.77067048477752,792.7073105221237
08,05,2015,16.756302521008404,98.56302521008404,0.05029495798319308,10.461344537815126,0.04244303949579834,87.97311480878187,50.566344992391265,64.5114116263737,788.9704739435483
